hotel,city,room_type,season,day_of_week,is_holiday,is_weekend,occupancy,demand,booking_lead_time_days,competitor_price,room_price
The Meridian,Bengaluru,Standard,Shoulder,Wednesday,0,0,10.0,45.96,16,6791.59,5743.83
Lakeside Inn,Hyderabad,Suite,Peak,Wednesday,1,0,67.42,90.97,9,11691.3,15167.65
Royal Residency,Jaipur,Deluxe,Low,Sunday,0,1,49.01,51.79,33,6987.43,7001.9
Lakeside Inn,Goa,Standard,High,Saturday,0,1,54.05,75.1,94,7258.34,8051.67
Lakeside Inn,Goa,Standard,High,Wednesday,1,0,64.01,71.15,122,6382.27,7322.66
City View,Goa,Executive,High,Sunday,0,1,42.25,52.26,16,9255.46,10772.43
Royal Residency,Bengaluru,Deluxe,Shoulder,Wednesday,0,0,41.59,40.17,60,5704.59,6302.9
Royal Residency,Jaipur,Standard,Peak,Sunday,0,1,56.88,83.17,78,7809.96,8935.64
Royal Residency,Mumbai,Deluxe,Low,Friday,0,0,39.81,46.44,20,6726.14,6801.48
Lakeside Inn,Hyderabad,Standard,Low,Thursday,0,0,21.69,20.77,54,1800.0,1500.0
The Meridian,Mumbai,Standard,High,Thursday,0,0,61.63,73.55,70,9099.36,9327.6
Royal Residency,Bengaluru,Standard,Shoulder,Tuesday,0,0,39.88,46.81,9,5010.22,4280.4
Sunrise Hotel,Hyderabad,Standard,High,Saturday,0,1,59.77,58.22,46,6203.78,7298.43
Lakeside Inn,Goa,Suite,Shoulder,Sunday,1,1,55.51,88.19,14,10685.52,12614.23
City View,Delhi,Standard,Low,Monday,0,0,34.17,40.15,47,2727.52,2104.54
The Meridian,Bengaluru,Suite,High,Tuesday,0,0,36.34,59.06,34,13712.26,15324.27
Sunrise Hotel,Bengaluru,Suite,Shoulder,Tuesday,0,0,51.84,53.98,7,9668.14,10826.53
Sunrise Hotel,Jaipur,Standard,Low,Sunday,0,1,58.35,81.38,19,4836.74,4761.64
City View,Mumbai,Deluxe,High,Sunday,0,1,42.95,82.53,17,9211.2,9911.88
The Meridian,Bengaluru,Deluxe,Shoulder,Tuesday,1,0,60.76,64.57,69,8256.62,9194.54
Lakeside Inn,Bengaluru,Executive,High,Tuesday,0,0,37.48,48.98,31,7417.72,9233.34
Grand Palace,Goa,Standard,Shoulder,Thursday,0,0,41.46,46.22,16,5897.44,6015.41
The Meridian,Goa,Deluxe,High,Monday,0,0,59.82,55.55,51,10828.49,12570.62
City View,Hyderabad,Deluxe,High,Tuesday,0,0,63.46,72.86,27,7131.38,8500.27
Sunrise Hotel,Delhi,Standard,High,Thursday,0,0,62.5,74.16,39,7091.5,7821.17
Lakeside Inn,Jaipur,Standard,Low,Tuesday,0,0,55.18,67.87,29,3245.84,2755.19
The Meridian,Delhi,Deluxe,High,Wednesday,0,0,15.41,32.78,120,8406.18,8605.48
Grand Palace,Hyderabad,Deluxe,High,Tuesday,0,0,42.27,54.17,39,8210.49,10084.97
Grand Palace,Goa,Standard,High,Sunday,0,1,94.53,91.2,55,9523.67,10326.71
Royal Residency,Mumbai,Deluxe,Shoulder,Saturday,0,1,25.26,35.38,68,7622.43,8382.51
Royal Residency,Goa,Standard,Peak,Saturday,0,1,75.75,94.28,32,10520.23,12240.36
City View,Jaipur,Deluxe,High,Tuesday,0,0,77.25,78.88,79,8055.59,8908.75
The Meridian,Goa,Standard,Low,Friday,0,0,21.16,44.6,60,7578.53,6082.82
The Meridian,Jaipur,Executive,Shoulder,Wednesday,0,0,26.78,25.1,4,8498.15,8979.11
Sunrise Hotel,Jaipur,Standard,Peak,Monday,1,0,49.14,79.3,18,7301.4,8167.02
Sunrise Hotel,Jaipur,Standard,Low,Tuesday,1,0,64.2,73.42,32,4142.57,4273.44
Sunrise Hotel,Hyderabad,Standard,Peak,Monday,0,0,77.3,94.55,35,7965.81,8765.01
Royal Residency,Jaipur,Standard,High,Wednesday,0,0,60.17,65.91,21,5934.53,6787.68
